shoulder,neck,spine,symmetry,label
84.57190281389175,42.33699923397857,159.24881181120884,32.93925939652493,poor
83.28183168445109,60.470368228209004,154.11167892497429,28.750570674081672,poor
90.20462691396571,15.989639737542916,171.89826031930536,10.2182677703928,poor
90.59371739621224,21.83983723356618,179.89461627667217,0.010165586479416788,good
91.33221985386885,21.2306111401579,179.95923212304527,0.5566176817709731,good
91.47257489127911,21.94600420665583,179.69084254058467,0.4712462588337871,good
86.1694986238698,47.47522181191115,162.26147123146794,15.194983869992711,poor
82.55628359088672,39.846091438814625,161.66616685549235,27.75037120148022,poor
85.94233692386526,21.87620811174246,175.3297767511653,4.457557221061251,poor
90.14616238577939,24.067464635001883,179.319708364903,1.307048096558134,good
89.27477570094116,26.92202960790021,178.6548054813598,1.7257747355995718,good
89.41980940640667,26.385722249407703,178.983674116227,0.9878364911340327,good
89.56039906471895,26.565051177170023,177.95893686020486,2.924728958477914,good
88.00046074305244,31.72360295774993,171.92407544010607,10.602184978415153,good
89.55470497991512,20.18286912770547,176.51861592955242,4.353172694393521,good
90.30155394986811,17.4788820696889,172.37580749521481,10.074720537067435,good
89.07595464722785,30.677280021876257,175.7076686776183,5.945848222017048,good
90.79351961461187,27.954970688792535,178.55624977726467,0.8881995903972211,good
90.79572355273876,28.05938476844082,177.1746508859105,3.5389247317277466,good
91.57799702792057,25.624146687191203,179.68982226688846,1.3330725647091128,good
90.42971028940082,26.298973618506565,176.80514260992675,4.806972552401874,good
90.13171420363857,27.627751515991804,177.12151613523267,5.425852524434589,poor
90.51041660428852,28.34569362315933,177.23511823879673,5.9504604544272865,poor
88.02506598911901,49.77284879006643,148.97218176975372,45.6987911224963,poor
97.19174277002631,16.18920625734407,134.48707625088778,55.10272555885703,poor
91.40059575877217,0.6160599146812125,145.50392718109077,48.1146522605265,poor
88.2901859558592,32.303451048438085,166.54863467629517,17.89067257022856,poor
87.68215035709814,46.32197565956954,154.92408516447114,34.82847013786687,poor
92.03813560500589,19.63420221668692,178.60145203595619,1.1455391738856235,poor
94.94759885898647,4.134671374745392,149.34731513460042,46.32252320502714,poor
88.35916336583288,33.638588852099105,169.99787856636217,13.53603204228051,poor
89.85271040282493,26.23513670720787,178.88903741621473,2.078383814734366,poor
90.8615257345668,24.102234501255246,179.67969265407612,0.0984433243419005,good
90.57726791736411,26.473670426077287,176.9526010861208,4.981211888786021,good
90.79756954086612,23.770286476869064,178.04083425595147,1.7651222098808148,good
91.21600139355644,19.7842787041282,179.74243388604359,0.5108796277935426,good
92.96823402987012,23.19859051374404,178.31661979856386,2.6241731515597735,good
92.00453403210483,23.629377730748907,178.2374878003729,2.340878067864537,good
92.28490386005355,24.365703286526884,178.35040962704537,2.3869932499377455,good
90.64665176912862,26.178576232463158,178.08741628423368,4.205040913039085,poor
94.00312291359394,25.965565645232743,177.00120532827373,1.5589912900807974,poor
89.67507467697865,15.90047565973968,173.45672464956436,11.099920533019144,poor
84.94617394993905,41.707160599687356,159.0047440660087,31.09113634831266,poor
90.40634623330874,16.0735741649645,174.23674083256932,6.65700459981781,poor
92.53542623446353,8.61564818454249,170.10689057459658,15.907487017502035,poor
96.69928315535523,22.89579708155478,176.91526126429846,1.9149411120413333,poor
91.80873932249077,27.035642480077122,173.1401336453423,8.653822216524958,poor
91.53983828862273,24.026506578778438,177.33175480093047,4.197155797022049,good
91.05255994169352,25.07959402168342,177.21095650636875,4.437375941336256,good
91.7806424459977,24.410739839583808,176.34487785509359,4.990280061035293,good
91.76691872363931,25.232831323295777,175.9332265701305,6.0480028463544215,good
91.76691872363931,25.232831323295777,176.1470405765541,5.587001973140616,good
91.7714697400331,25.583443839977413,175.6599185137251,6.200739590657264,good
91.4725748912792,25.49755149342414,175.79565392057214,6.577661365731899,good
91.40402721910355,24.53772847666469,176.61267135878822,4.856156954032485,good
91.65628391966969,24.77514056891775,176.04571571681697,6.10904604059246,good
91.29216688624925,30.837831944751837,169.1741920882239,16.540082901922688,good
90.73077388540831,25.480717947878382,177.4195495654812,3.8481631057697143,good
91.46131009088043,26.56505117715773,175.43453661744897,6.610026212875994,good
91.60328006467964,26.47850172710844,175.86621153237655,5.995831630140486,good
91.97008542161326,27.012665348019503,175.3778386338198,7.139547018350697,good
90.13641826486847,31.982887810993155,172.08257094605412,11.271762948558575,poor
89.86358173513155,31.86597769367715,173.86369148555008,8.463076910797213,poor
89.3474566946084,30.16309123853114,175.16110119845936,7.347976829741299,poor
89.61287224584923,32.48963315913849,166.60185233188582,20.163014802881577,poor
89.11859600341826,27.72148593887451,177.3796432042906,2.860761937814374,poor
95.87396151618981,30.537547117877498,169.5145438947871,11.75270522739541,poor
90.86152573456697,49.64114021076812,155.4027936229754,26.453091929981127,poor
90.25925515150126,30.11373315105395,174.21699184611745,9.371633392552866,poor
90.82553047044159,23.26770481018581,179.01831312643472,5.530343980486975,poor
96.23605558374047,24.357989684475275,177.73652291964942,1.793489429084758,poor
102.48681740554706,6.674469047620902,167.3466958241475,22.063446945329417,poor
107.57125877830535,9.200400469564096,157.53818986023086,37.78108878110464,poor
98.09208259893649,28.12373538345215,145.91564458955585,25.093864948936783,poor
89.57871509583173,42.00378154673965,155.6746354152603,33.5314450651812,poor
93.5578518661161,19.568710311158842,178.15660946235124,3.3979234119925934,good
94.88646203746087,17.9464460967606,177.20566638034438,4.383710311883874,good
92.20259816176461,21.764539620557187,179.04617841790215,1.981735459023355,good
92.34327696842436,21.912735342822383,179.14657835701192,1.4739901751163131,good
91.76239102365956,23.881276017702326,178.9866616835779,0.9228608051824665,good
84.85585258836696,41.781377889160964,164.36342246311867,25.38909360672224,poor
91.24536426676744,9.018533517562692e-05,160.11448858961742,31.993284432640536,poor
89.42934377535666,34.24582926166488,171.37799291000405,11.666538364444563,poor
86.26301616652536,33.38503520201226,174.28883735666582,9.023577544155529,poor
88.29214558988002,28.724622961078857,177.51670597406044,4.2254302461936675,good
89.34296711000567,24.904768808207482,178.55564133293925,2.744457649171835,good
86.89833597013359,29.7229959736053,178.19925331571628,2.383910416677793,good
87.4249408696789,37.84548016277269,172.88259795313482,11.147481516453325,good
87.60157866590922,38.427005013586104,173.04950986174563,10.705701916982406,good
87.6920992086133,38.78896894499233,172.72041100004728,11.55740624286102,good
87.397437797502,38.12856914758376,173.0516078861808,11.02193119239763,good
88.3750236424763,33.50343698248642,173.1416992759398,11.600165054659726,good
88.64893491728125,32.0235781200659,173.72701219126668,10.682275403349223,good
89.04515874612845,30.695044580667254,174.7953884479898,8.862653975494567,good
88.63281850545778,27.216111557409167,177.78968107469976,4.5096746111213974,good
88.2479695019796,26.565051177182138,178.40023455710227,2.7507207675264738,good
86.8580388630658,27.294378142052,178.54036366116262,2.72197124451759,good
86.38903536055287,28.581675051797585,177.10198112169692,4.9717740244476545,good
85.94530933047166,30.71890426411674,178.18162753155664,3.329248417881985,good
86.009086901573,31.85365690407448,178.64284174121622,2.3776903191808287,good
86.17614939725007,31.73755847666475,178.73365863019478,2.3626542263683064,good
86.26536467045999,30.748012281998523,179.80846062991532,0.04611353526073003,good
93.83367653708197,0.7345210399389978,154.92583946727606,43.3123750793263,poor
92.5603008939055,7.594643369110437,157.76065591002836,37.78454794997566,poor
79.51464760331517,51.43692060091036,169.53508680236885,15.633666911457965,poor
79.51464760331517,51.43692060091036,169.53508680236885,15.633666911457965,poor
79.17698877380145,49.90729984234443,172.5518676689668,11.667141982976432,poor
89.36622297949798,24.243520587353174,179.2969822901393,1.0542006560025357,good
90.42025490471646,23.051300916603378,178.67555925748346,2.0837740123581625,good
89.30553971245088,17.36661988346685,165.67917718578425,22.44781956350093,good
90.36493633573028,17.40579401883857,163.9393204905885,26.630046744520115,poor
91.10881212775877,13.926586607822328,162.78608164351604,27.512922584037426,poor
84.087532754041,41.616271169741886,170.89774416550551,14.332600873215966,poor
84.21980983689554,39.96621304387818,171.25739834590902,14.26737859376513,poor
88.67462715607883,22.680559607167954,177.93791621681657,3.2119257952320197,good
88.55708648817769,24.60850280464446,178.04749094941315,2.5224144933463037,good
88.87669728592537,23.198590513788982,176.9613728070756,4.226276986780334,good
90.12428566083828,21.903178081974783,179.05700099666325,0.610761081566551,poor
89.37315652620589,22.96377305998246,177.53966381881497,3.0662368221809686,poor
91.59921294173004,24.681563784075,176.28684997446013,6.696155420639741,good
91.44291351182227,21.583969241913852,179.33913753246705,2.1300593890141784,good
91.8708050584728,23.54344486756107,177.02131584576324,5.4835109102124875,good
91.10643329472661,28.288890829526807,173.75507343063737,9.828851677886178,poor
90.21499253510441,25.3307323360744,178.13398123121428,3.5667228328091483,poor
90.64495339032337,26.202424503202202,177.8411139150102,3.766989609526803,poor
90.64134387894222,26.34636605774162,177.8387284919763,3.2329079458252465,poor
91.03457430914135,42.148543709315476,154.40199410864233,40.56697163636713,poor
92.74808818005265,31.16820090802697,174.82702128033625,7.99386847112234,poor
102.83560948639338,18.646892786737222,176.07132116303967,5.015871143189202,poor
102.5170955712221,18.632292863044885,174.73219981045747,5.496794831909625,poor
89.14913513527028,9.773226487596578,157.21445886929928,30.326729239444376,poor
87.88449507199734,3.3134254012451496,153.0076268037709,38.036084778215695,poor
89.61460819226718,4.031801099057857,157.23016500858824,33.244126988363234,poor
90.0,39.39072555361329,160.4300619130162,24.194447543279807,poor
86.6932535197593,39.88063102254886,160.46011298383792,17.07762977945987,poor
92.62526034115945,17.7626693565667,174.20784619146806,11.704414934545838,poor
93.24649184605214,23.111734926683948,176.36580502344586,2.7342094792017235,poor
91.02042760954043,27.265882027445095,175.00927780445352,7.683482125354573,good
90.71615994546991,25.455137673482028,177.85625627596775,3.5489628755720446,good
89.54886145321305,24.002598019261654,179.99139017054884,0.5952461753002751,good
90.74599663836956,30.586402298900516,173.55906708209494,9.96644578319848,good
90.30234959197645,33.49300629272259,173.092971840354,10.629239511829638,good
90.5891389227974,27.749728577310286,175.5390639281887,6.75212177360396,good
90.15443568937216,23.902050411134873,178.28675924055227,2.5233058877347503,good
91.24199035442216,18.69898280435293,170.05989839933417,14.60196072963683,good
91.91898608595139,21.36265012823281,179.23925683818814,1.3182230330977802,good
90.87690774143003,25.130846747832376,173.47405850462204,10.63030622042075,poor
92.63579640962533,28.998006376859028,168.51208006655312,18.389707401335045,poor
82.45198278103794,24.94866800498053,173.20234258623088,9.157780076822888,poor
